 ,Public Figure Name,Statement,Positive/Negative,
,Sachini Nipunsala,බඩු Have ! 😍 ගෙදරට ඕන බඩු ගන්න යන්න විදියක් නැද්ද? ගියත් ගන්න බඩු නැද්ද? 🤔එහෙනම් ඔයත් Cargills Online App එක try කරලා බලන්න. අවශ්‍ය හොඳම බඩුවක් තෝරලා ගෙදරටම ගෙන්න ගන්න පුලුවන් නිසා කාලයයි මුදලුයි පෙට්‍රලුයි මහන්සියයි හතරම ඉතිරි..ඕනෙ වෙලාවක #බඩුHave නිසා තව වෙන මොනවද?💁🏻‍♀️,Positive,
,Sachini Nipunsala,"Social media හරියට පාවිච්චි කරමු...ලස්සන දේවල් බෙදා ගමු...අපි අපිටම ආදරය කරන, හැමෝටම සතුටින් ඉන්න පුළුවන්, ලස්සන ලෝකයක් හදන්න එකතු වෙමු... ♥️",Positive,
,Hasitha Wijewardena,අම්මා තරම් කෙනෙක් නැහැ වෙන කවුරුත් ජීවිතේ... Happy bday to the Worlds best Mom Kumari Wijewardene  where IAm now it’s becoz of u. Love u More than Anything Ammi,Positive,
,Shanudrie Priyasad,"Australia is about to witness a love story that’ll never be forgotten 💓
දැන් ම seats වෙන් කරගන්න🤩 ",Positive,
,Yupun Abeykoon,ඔයාගේ Injury එක සනීප කරන්න කියලා හිතාගෙන Phyiso කෙනෙක් උන මම…..Just wow,Positive,
,Chethana Katagoda,දැන් මං විතරද TV Program එක අද බලලා නැත්තෙ  බලන්න ඕනෙ ගිහින්  මගෙ HomePage එක ඉවරයි  මොකක්ද ඩෙයියනේ උනේ,Negative,
184056G,@Menitweet,How about you all just let us vote?  pls! Even this is a sorry excuse for RW to carry on and continue to pls the  bros… අපෝ එපා!!,Positive,
,@munza14,"New York වල හිටියත්, කොච්චර ගනං ඇඳුම් ඇන්දත්, අර තුට්ටු දෙකේ ගතිය නං වෙනස් කරන්න බෑ ඉතින්.
 චිකේ! ලැජ්ජයි හලෝ! ",Negative,
,@Goshitha5,The most suitable phrase to describe this is 'ගහන්ඩ ගහන්ඩ වඳින එකත් මෝඩයෙක් වඳින්ඩ වඳින්ඩ ගහන එකත් මෝඩයෙක්. මුන් දෙගොල්ලටම ලැජ්ජාවක් නැහැ,Negative,
,@Goshitha5,"It was obvious that something sinister was going on @ CCP summit when 
@BRI_SL putting out such a load of BS propaganda and also trying highlight issues in Europe. දැන් ඉතින් රෙදි නැතුව හෙළුවෙන්",Negative,
,"@KaviSenu
",ඒඩ්ස් කියන්නෙ computer virus එකක් කියල අදනෙ දන්නෙ,Positive,
,"@Goshitha5","1. By any chance is there an election round the corner coz the infamous අරුණ owned by the creator of කැළණි නයා Dilith J is warning us of an impending sex වඳ. I guess they've run out of imagination on වඳ kottu, etc.",Negative,
,@anuradhasenana3,ශ්‍රී ලාංකීය සංචාරක කර්මාන්තයේ අනාගතය Visit Sri Lanka,Positive,
,@anuradhasenana3,2022 අන්තර්ජාතික බුකර් සම්මානය ශෙහාන් කරුණාතිලකගේ The Seven Moons of Maali Almeida කෘතියට...,Positive,
,"@RegularReh","Apparel sector does not want to pay higher taxes, corporates and SMEs don't want to pay higher taxes, JVP doesn't want higher taxes, professionals don't want to pay higher taxes, consumers don't want to pay higher taxes. මේක කොහොමද එතකොට කරන්නේ?",Positive,
,"@Goshitha5
",Govt Initially said by end Dec '22 the IMF bailout will be finalised then it was beginning next year now 2nd half of next year. Beginning next year it'll be end next year. Reminds me of an old sinhala phrase 'අද නෙවෙයි හෙට බාලගිරි දොසේ ',Negative,
184143V,Iraj,පුලුවන් නම් මෙතනින් යනකොට මෙයාගෙන් කෑම එකක් අරගෙන උදව්වක් දීලා යන්න ❤️,Positive,
,Kavindya Adikari,"🌸ජීවිතයේ ගෙවන හැම තප්පරයක්ම සතුටින් ගත කරන්න... අපි කවුරුත් අපේ අවසාන මොහොත දැනගෙන ජීවත් වන මිනිස්සු නොවන නිසා...☺️🌸 
-කවී- 
#goodnight #behappyalways",Positive,
,Madhawa Wijesinghe,"ගෙදර රැඳෙන හැම වෙලාවකම Home Gardening වලට අපි වැඩි කාලයක් යොදවන්නෙ හරිම කැමැත්තෙන්. 

හැබැයි හරි විදිහට Home Gardening කරන්න දැනුම ලැබුනේ Dialog Govi Mithuru app එකෙන්.

මම කියන නිසා ඔයත් try කරල බලන්න. ප්‍රතිඵල කොහොමද කියලා මටත් කියන්න. 

#Dialog #GoviMithuru #homegardening

https://www.facebook.com/dialog.lk",Positive,
,Binario 12,"WE ARE PREGNANT 👼🏼❤️.

වචන වලින් කියා ගන්න බැරි තරම් සෙනෙහසක් හිතට දැනෙනවා.අපි දෙන්නගෙ ආදර කතාවට දගමල්ලක් එකතු වෙන්නයි යන්නෙ.ජීවිතේ ලස්සනම චාරිකාව ජුලි 01 පටන් ගත්තා.OMG අපිට අම්මා තාත්තා කියල කතා කරන ඩයල් එකක් නදීගෙ බන්ඩි අස්සෙ ටික ටික ලොකු වෙන ගමන්…අපි ඊයෙ එයාව ජීවිතේ පලවෙනි පාරට දැක්කා🥹❤️.
නදී වගේ හුරතල් ට්‍රැක් ඩයල් එකක් වෙයිද😍.මං වගේ ලැජ්ජ බයට හැදෙන පැංචෙක් /පැංචියෙක් වෙයිද කියල ආසාවෙන් බලං ඉන්නෙ ඉවසිල්ලක් නැතිව.",Positive,
,dinakshie Priyasad,මේ කාලයේ පුලුවන් විදියට අත්‍යවශ්‍ය ද්‍රව්‍ය අත්‍යවශ්‍ය මිනිසුන් වෙනුවෙන් ලබාදෙමු... 🙏🏾 There are so many suffering right now... So Let’s donate whatever we can to save another life 🙏🏾,,
,Piumi Hansamali,❤️Mrs world යන්න අසාවෙන් හිටියේ එ ආසාව ගියා😂අප්පිරියයි මෙවා දැක්කම වමනෙ යනවා🤮  shit මට එපා Chandimal Jayasinghe crown එක😂මම වෙන pageant එකකට යන්නම් අයින් වෙලා පයින්🙈කෙටියෙන් කියනවා නම් මට කියන්න තියෙන්නෙ මෙච්චරයි.අදටත් රැජින රොසි මැඩම් පමනයි￼ එ  තරම් ලස්සනක් ඔය දගලන කිසි කෙනෙකුට නැ.අදටත් බලන්නකො රොසි මැඩම්ගෙ ලස්සන පුදුම ලස්සන මුනක් ඇයට තියෙන්නෙ.ඔය දගලන අයට මම කියන්නෙ ගෙදර කන්නාඩිය ඉස්සරහට ගිහින් චුට්ටක් බලන්නකො රොසි මැඩම්ගෙ ලස්සන ගැවිලා වත් තියනවද කියලා😂ඔය දගලන අක්කලා නංගිලා chandi next time field එකෙ ඉන්න කිසිම කෙනෙක් යවන්න එපා ඔය pageant එකට ඇත්තම කිව්වොත් ඔයිට වැඩිය ලස්සන කාන්තාවො ඉන්නවා මෙ ලංකාවෙ ඔනැ තරම් දෙන්න එම කෙනෙකුට අවස්තාවක් මම ඔයාගෙ යාලුවා විදිහට ඔයාගෙන් කරන ඉල්ලිමක් 💝 මෙය ලැබිය යුත්තෙ හොද family life එකක් ගත කරන විවාහක කාන්තාවකට .එම නැතුව සුගර් ඩැඩිලාගෙ පහස විදින අයට නොවෙයි.🙈 කො යකු මගෙ සුගර් ඩැඩි😂😂😂🤷‍♀️ඉන්න තැනකින් එන්න මා සොයා මැරෙන්න කලින් BMW එකක් ගන්න ඔනෙ චොපර් වල යන්න ඔනෙ හැම දාම took එකෙ ගිහින් මට ඇති වෙලා😂branded බඩු ගන්න ඔනෙ😂  පුතාට branded අන්දන්න ඔනෙ😂 Five stars￼  හොටෙල් වල ගිහින් කැම කන story’s දාන්න ඔනෙ😂  යටට අදින එවා branded ගන්න ඔනෙ.යොට් වල යන්න ආසායි😂 එන්න මා සොයි my සුගර් ඩැඩි lol I’m waiting for u,Negative,
,Gehan blok,"Fuck yeah!

Blok & Dino bagged a Gold (පුංචි දුපතේ කතාව), two Silvers (අම්මා wars,Office හොරා Police) and a special Bronze Award for Best Branded Content (Rapshoplanthe), as well as two finalist certificates - a total of 6 awards at the SLIM Digis 2.0. A big thank you to our partners and clients for their support in making us one of the highest awarded creative agencies of the night

#blokanddino #gehanblok #dinocorera #slimdigis #slimdigis2020",Negative,
,Dino Corera,"මට ගොට්ටව ඔනේ...
හැංගිලා ඉන්නත් ඔනේ...
බොරු බවුද්ද කමක් උඩින් දාලා
ජාතිවාදෙ යටින් දාලා
ටකට ටකට ටකස් ගාලා
ගේන්න මල්ලි දැන්!

I guess people dying in queues, desperate relatives trying to find medicine for loved ones and an entire nation rediscovering it's soul aren't enough to stop deals with the devil. රෙදි ගැලවුනත් මඩ හොදන ඔබට, ""සුභ ඇනාගතයක්""

#GoHomeGota2022 
#gohomerajapaksas",Negative,
,Shanudrie Priyasad,"Y FM තව කෙනෙක්ට prank call එකක් ගන්න කලින් ඒ මනුස්සයා මොන විදියේ situation එකකද ඉන්නෙ, ඒ මනුස්සයට prank call එකකට react කරන්න පුලුවන් මානසික තත්වයක් (හැමෝම මේ වෙලාවේ මොකක් හරි ප්‍රශ්නෙක, කරදරේක ඉන්නෙ) තියනවද කියල හොයල බලන්න",Negative,
,Heshan,"හෙලෝ කට්ටිය, ඕගොල්ලො මේවෙනකොටත් දැකල ඇති වීඩියෝ එකක් හැමතැනම viral යනව online class එකක් කරන teacher කෙනෙක්ගෙ. Class එකේ ළමයෙක් එයාගෙ online නම Mia Khalifa කියල දාගෙන. අර teacher අහනව ""Mia Khalifa are you new to this group? I'm just talking to you putha?"" කියල. ඉතිං දැන් මේක හෙනම ජෝක් එකක් කරගෙන කට්ටිය. අර මනුස්සයා මියා කලීෆා කියන්නෙ කවුද කියල දන්නැති එකද ජෝක් එක? අපේ පරම්පරාවෙ මිනිස්සු ඒ කවුද කියල දැනගත්තට අපේ අම්මල තාත්තලගෙ පරම්පරාව එයාව දන්නෙ නෑ. ඒක කොහොමද ජෝක් එකක් වෙන්නෙ? වැඩිය ඕනෙ නෑ දැන් ඔය වීඩියෝ එක දාපු ඩයල් එකගෙ අම්මව ගෙන්නල අහන්නකො මියා කලීෆාව දන්නවද කියල. ඒකත් record කරල viral යවන්න පුළුවන් එතකොට නේ? ඕක දාපු එවුන්ටයි ඕකට හිනා වෙන එවුන්ටයි කියන්නෙ, මෙහෙමයි මචං, එක්කො උඹල ඕක උඹලගෙ class එක ඇතුලෙ ජෝක් එකක් විදියට තියාගන්න තිබුණ. ඕක දාන්නම අමාරුවක් තිබ්බනම් අර ගුරුවරයගෙ මූණ පෙන්නන්නෙ නැතුව දාන්න තිබුණ. කොහොමත් ඒ කරපු වැඩේ වැරදියි. තමන් නොදන්න දෙයක් උගන්නන්න හදන ගුරුවරයෙක්ව සමාජයක් ඉස්සරහ අපහසුතාවට පත් කරන්න යන එකේ ජෝක් එක මම තාම හොයනව. මියා කලීෆාව නොදන්න ඒ ගුරුවරයා තවතවත් ගෞරවයට පත්වෙන අතරෙ මියා කලීෆාව දන්න උඹල මේ සමාජෙ කොතනටද වැටෙන්නෙ කියල හොඳට හිතල බලපං. අනිත් අය ඒ වීඩියෝ එක දැක්කොත් තව තවත් react කරන්නයි share කරන්නයි යන්න එපා. බැනලවත් comment දාන්න එපා ඒකෙන් වෙන්නෙ තවත් reach වෙන එක. මේ වගේ අසමජ්ජාති වැඩවලට හිනා වෙන තැනට වැටෙන්න එපා. එහෙම කරන එවුන්ව ගණන් ගන්නත් එපා. ඉස්සෙල්ලා මනුස්සයෙක් වෙයන්. අනිත් ඒවා ඊට පස්සෙ පුළුවන්.",Negative,
184087C,Manjula Meegahawaththa,"When you were born I marveled at your tiny little toes and your mini cute smile. 
ජීවිතේ පලවෙනි වතාවට අම්මා කියන උතුම් වචනය මම ඇහුවෙ ඔයාගෙන් පුතේ.",Positive,
,Pradeep Rangana,"යහපත් වූ නිර්මාණයකට ඔබෙන් ලැබෙන පැසසුම්, එහි සැබෑ නිර්මාණකරුවන්ටත්, මටත් බොහෝ වටිනාකම් එකතු කරයි.
හරවත් නිර්මාණ සමාජගත විය යුතුයැයි ඔබ සිතනවානම්,
Share කරන්න.
Appreciate your valuable comments and support.
",Positive,
,Raini Charuka Goonatillake,"ලස්සනම view එක තියෙන්නේ අමාරුවෙන්ම නැගපු කන්ද උඩයි…ඒක නිසා ලේසියෙන් ලැබෙන දේවල් පස්සේ දුවන්න එපා, ඒ දේවල් හරි ලේසියෙන්ම නැතිවෙනවා.",Positive,
,Kumar Dharmasena,"Thank you for the love and support you show towards the game of Cricket 🙏🏽

ඔයාලා නිසා තමයි cricket ලස්සන වෙන්නේ. ස්තූතියි ඔයාලගෙ ආදරේට 🙏🏽❤️. හැමදාම Cricket එක්ක රැදිලා ඉන්න.",Positive,
,Rathindu Suramya Senarathna,Lotus Park එකට හැරෙන තැන කදුලු ගෑස් ගහන වෙලාවෙ POCO X3 වර්ගයේ 4n එකක් වැටිලා තියනවා.නිල් පාට Back cover එකක් දාලා තිබ්බෙ. දැක්කොත් හරි හම්බ උනොත් හරි මේ නම්බර් එකකට කතා කරල කියන්න,Positive,
,Sanath Jayasuriya,"මෙවැනි අසාධාරනවලට ලක්වෙන දරුවන් අනාගතයේදී කොතනක නතර වේවිද? අධ්‍යාපන බළධාරීන්ගේ ඇස් ඇරී.මේ දරුවාට සාධාරණයක් ඉශ්ඨ වේවායි පතමි!

Is this the Sri Lanka education system? I urge the responsible authorities to take the necessary action against this school and the principle.",Negative,
,Umaria Sinhawansa,"ලමයෙක්ගේ හැකියාවට මේ තරම් කැත විදියට බනින්න තරම් පහත් මිනිස්සුද ලංකාවේ ඉන්නේ? 

ලැජ්ජයි 😤 

Climb higher and higher little girl. WE ARE ALL with you.. God bless you more and more.. ❤️",Negative,
,Uma Aseni,රජයටත් වඩා මේ මිනිස්සු මහන්සි වෙනවා  රටට dollars ගේන්න. කොච්චර වටින රටකද අපි ඉන්නේ. දූෂිත පාලකයන් නැත්නම් මේ රට කොච්චර සුන්දරද. 😔,Negative,
,Wasantha Duggannarala,Live අඬන්න ලේසි නෑ බොලව්...,Negative,
,Dilan Senanayake,"මේ වගේ එව්වත් ඔයාලට මීම්ස් කියලා හිතෙනවා නම් තව ගහන්න. අපිව ආතල් එකට ගන්න හැමෝටම ස්තූති.
මෙය බොරු පෝස්ටුවක් බව කරුනාවෙන් සලකන්න.
Konara මල්ලි දැනුත් කතා කලා මට",Negative,
184139N,Lahiru Mudalige,අද Match එකට කාලගුනය බලපායිද? ගොඩක් දෙනෙක් ඇහුවා . බයවෙන්න දෙයක් නෑ හොඳට රස්නෙ තියෙනවා  අහස පට්ට පැහැදිලි,Positive,
,Dinesh Gamage,"Dubai ,you were so good to me! See you soon!🤘 ආදරෙයි 😘",Positive,
,Dulan ARX:,"මේක තාමත් ගොඩක් අය අහන, ආදරේ කරන සින්දුවක් ! Thank you all ❤️ ආදරෙයි !!!අපිට Wish කරපු හැමෝටම බොහොම ස්තූති..!! ",Positive,
,Theekshana Anuradha,අද දැකපු ලස්සනම selfie එකක්. Dasun Shanaka ලංකාවට cup එක ගේන්න සුබ පැතුම්!!!,Positive,
,Roshan Fernando ,no trouble කෑවොත් vegetable 💪 අපේ කොටුවෙ අපි වවපුව,Positive,
,Dammika Prasad," මැච් එක දිනන්න බැරි වෙච්ච එක තමයි දුක, ඒකට ගොඩක් upset අපි කට්ටියටම, sorry about it.",Negative,
,Dilantha Malagamuwa,ලංකාවේ බොහෝ දෙනෙක් දන්නේ නැ food intolerance ටෙස්ට් කියල එකක් තියනවා කියලා.,Negative,
,Damitha Abeyrathne,මෙය මාගේ profile පින්තූරය පාවිච්චි කරමින් කරන්නාවූ බොරු FAKE PROFILE එකක්..,Negative,
,Sachini Nipunsala,අන්න ඒකයි මේච්චර memes හැදෙන්නේ .ඉරිසියාව,Negative,
,Raini Charuka,"ඔයාට වගේ ලස්සන වචන වලින් මගේ feeling එක express කරන්න මට තේරෙන්නේ නෑ, sorry 😞",Negative,
184069A,Bathiya and Santhush (BNS),DJ OSHiDA ගේ ස්ටේජ් විව් එක ... Thanks you #Changwon South Korea MAMF #MAMF2022 රටවල් 10ක් සහභාගී වූ ජාත්‍යන්තර ප්‍රසංගයේ අපට සුපිරි ගැම්මක් දෙන්න ආපු අපේම ලංකාවේ සහෝදර සහෝදරියන් සියල්ලන්ටම අපේ,Positive,
,Dinakshie Priyasad,මේක GAME ලෝකයක්  මොන අමාරුකම් තිබ්බත් පුලුවන් වුනොත් බලන්න... මේ රටේ ලොක්කො පොඩි මිනිස්සුන්ගෙ ජීවිත එක්ක කරන GAMES....Janith Wickramage Proud of you aiya and what you constantly fight for,Positive,
,,දින්නා ළමයි දින්නා... මොකද කියන්නෙ 21 match එකට යන්න ද?,Positive,
,Shanudrie Priyasad,Yeeey! Can’t wait to watch this!!!! ඉවර වෙන්න කලින් tickets ගන්න,Positive,
,Thanuja Jayawardana,ඉන්දියාවත් ශ්‍රී ලංකාවත් එක්ව නිර්මාණය කළ Second show චිත්‍රපටය හරහා ලාංකේය  සිනමාවත්  දක්ෂතවයනුත් ලෝකෙට අරන් යන්න නැවුම් බලාපොරොත්තුවකින් ඉන්න ආදරණීය  Silver Screen super star හේමාල්  ඔයාට සියලුම අභියෝගය ජය ගන්න ලැබේවා,Positive,
,Mahinda Deshapriya,"මිතුරනි,පුරවැසියනි, සසිඳු සහන් තාරක ඇතුළු,සාමකාමී උද්ඝෝෂණකරුවන්ට එරෙහි මර්ධනය හෙළා දකිමු 📢✌, Justice for Sasindu & others .",Negative,
,,"දැනට ධාවනයේ යෙදෙන දුම්රියද ඇතුළුව හෙට ජූලි 09 , සියලුම දුම්රිය ධාවනය ඇදිරි නීතියට මුවාවී GMRගේ නියමයක් මත නවත්වා ඇති බවට පැතිරෙන වාර්තා සත්‍ය නම් ඔහුටත් GO HOME කීමට සිදුවේ.📢✌",Negative,
,Shalani Tharaka,"CANCELED ❌ නොවැම්බැර් 5 වන දිනට යොදා තිබු ඩුබායි ""කියාදෙන්න ආදරේ තරම්"" ප්‍රසංගය නොවැලැක්විය හැකි හේතුන් මත පවත්වන්නැති බව මෙයින් දැනුම් දෙමි.",Negative,
,Dino Corera,"මැච් එකෙන් පස්සෙ 🇮🇳 බය්ට් කරල හෙට තෙල්, credit line නැතිවුනොත් අපිටත් Arshdeep දැනෙය්",Negative,
,Shanudrie Priyasad,"මම දාන posts/ stories බලන සමහර අය අපහසුතාවයකට පත් වුනා නම්, සමාවෙන්න. මින්පසු නොබල ඉන්න. 🤍",Negative,
184126X,Rasika Jayakody,පොදුවේ පාර්ලිමේන්තුව ගැන මහජන විශ්වාසය බිඳ වැටිලා තියෙනවා. පාර්ලිමේන්තුව සහ රටේ ජනතාව අතර ලොකු disconnect එකක් ගොඩනැගිලා තියෙනවා.,Negative,
,Chanux bro,Work from Home දැන් work from queue වෙලා නේ,Negative,
,Chanux bro,"අන්තිමට Phone එකත් ""අති සුඛෝපභෝගී"" භාණ්ඩයක් විය",Negative,
,Rasika Jayakody,රනිල් සහ මහින්ද පුද්ගලිකව කොයිතරම් හිතමිතුරන් වුවත් ඔවුන් සමාජයේ සැළකුණේ දීර්ඝකාලීන දේශපාලන සතුරන් ලෙසයි. සාමාන්‍යයෙන් තමන් ගේ දීර්ඝකාලීන සතුරෙකු ගැන ඒ විදියේ endorsement එකක් දෙනකොට අඩුම තරමේ තමන් ගේ ආධාරකරුවන් ඉදිරියේ එය යුක්තිසහගත කළ යුතුයි.,Negative,
,Rasika Jayakody,මහින්ද රාජපක්ෂ ගේ comeback plan එක,Negative,
,Rasika Jayakody,ඒත් දීර්ඝ කාලීනව සහ තිරසරව ගැහැනිය සුරක්ෂිත වන්නේ ලිංගිකත්වය පිළිබඳව තියෙන මේ fundamental අවුලෙන් සමාජය නිදහස් වුණ දවසටයි,Positive,
,Chathra alwis,"2022 වසර සඳහා වන ""බුකර්"" සම්මානය ශ්‍රී ලාංකික ලේඛක ෂෙහාන් කරුණාතිලකට හිමිව තිබේ.ඔහු විසින් රචිත ද සෙවන් මූන් ඔෆ් මාලි අල්මේදා ""The Seven Moons of Maali Almeida "" නැමැති කෘතිය වෙනුවෙන් එම සම්මානය හිමි වී ඇත",Positive,
,Kanchana Anuradhi,"""ආලේ මල් "" ගීතය Youtube views මිලියන 10 සීමාව පසු කල බව සතුටින් දැනුම් දෙමි",Positive,
,Rasika Jayakody,Soulmate කියන්නේ එහෙම තමන් විසින් තමන්ට ම දීගන්න ඒ වගකීම් සහතිකයට මිස වෙනත් දෙයකට නොවෙයි.,Positive,
,Rasika Jayakody,"දූෂණය මැඩ පැවැත්වීම, හැමදේට ම විධිමත් ක්‍රියාවලියක් (due process) ස්ථාපිත කිරීම්, කාර්‍යක්ෂමතාව සහ ඵලදායීත්වය වැඩිකිරීම වගේ ම විනයක් සහිත සමාජයක් බිහිකිරීමටත් ඇති ප්‍රධානත ම මෙවලමක් වන්නේ 'ඩිජිටල්කරණයයි'.",Positive,
184001K,Anura Kumara Dissanayake," අපි දුප්පත්කම ෆැෂන් එකක් කරගත්තු මිනිස්සු නෙවෙයි , JVP නායක අනුර පවසයි",Positive,
,,"Towards a tourism economy,සංචාරක ආර්ථිකයක් කරා...",Positive,
,Thisara Perera,ජීවිතේ කවමදාවත් fitness test එකක් ෆේල් වෙලා නෑ,Positive,
,Shanudri Priyasad,ජීවිතේ ලස්සන වෙන්නෙ අපි ගන්න තීරන එක්ක. ඒ නිසා don't be afraid to express yourself in different way,Positive,
,Mahinda Desapriya,"ජය ජය ජය  ජයවේවා,CRICKET LOVELY CRICKET
",Positive,
,Peshala Manoj,"ඉන්න හිතෙන රටක් සෙට් කලාට Thank you Sir
එහෙනම් Good Night හැමෝටම 
අපි ගියා තෙල් පෝලිමට ",Negative,
,Vishwa Lanka,love කරන කාලෙ gf ගෙන් ලියුමක් එනකල්වත් මෙච්චර වෙලා බලන් ඉදල නෑ....,Negative,
,Wasudewa Nanayakkara,IMF එකට ගියොත් මේ රට විනාශයි.,Negative,
,Dinithi Walgamage,"මම Marry කරානම් මම අද මෙතන නෑ ,මම කාගෙන්වත් Depend වෙන්න කැමති නෑ",Negative,
,Mahindananda Aluthgamage,තරග පාවාදෙන තරගකරුවන් වැඩිම සිටින්නේ lanka team එකේ,Negative,
184191N,Rasika Jayakody,මේ වෙස් මුහුණ නරක දෙයක් යැයි මම කියන්නේ නැහැ. මේ හැම වෙස් මුහුණකම උපයෝගිතා වටිනාකමක් හෙවත් functional value එකක් තියෙනවා.,Positive,
,Thilina Kaluthotage,දැනට මට Photography ජීවිතයේ ලැබුන හිතාගන්න බැරි Surprise එකක්,Positive,
,Dhammika Perera,"""රට brand කරල international promotional campaign එකක් කරන්න ඕනේ..""",Positive,
,Mahinda Deshapriya,ඇති යන්තම් . ඒකත් තලා ගත්තා . හැමදාමත් Cricket lovely cricket .,Positive,
,Travel With Wife,"ඔන්න මේ වාසනාවන්තයො දෙන්නා එක්ක ගිය ට්‍රිප් එක..
Next එකට ඔයාලා Ready ද??  යමුද රවුමක්??",Positive,
,Chanux Bro,QR සලාක App - මේ යන විදියට ගියොත්.. ඉදිරියේදී එයි යැයි සැලකිය හැකි තවත් සලාක ඇප් එකක්..,Negative,
,Dhammika Perera,Import කරන එක නවත්තනවට මම සම්පූර්ණයෙන් විරුද්ධයි,Negative,
,Travel With Wife,NEW VIDEO  මෙක නොබලා JUNGLE BEACH එන්න එපා,Negative,
,Drone Mudiyanse,"Phone tower එකක් ලග Drone Fly කලොත් 
ඩාම් වෙලා ඩූම් වෙනවා කියන්නෙ ඇත්තද...",Negative,
,Anuruddha Bandara,"For those who went on with  "" Tax The Rich "" How does it feel now?...
ලගදිම Internship එකක් කරල 15 000 හොයන අයත් ""Rich"" කියල ගැසට් එකක් එනවාමයි.",Negative,
184085T,Lasith Malinga,"Let’s wish Dasun Shanaka and our boys all the best for the Asia Cup 2022 Final.
ජයවේවා කොල්ලනේ",Positive,
,Patali Champika Ranawaka,"විදුලි ඉල්ලුම් කළමනාකරණය (Demand Management ) තුලින්ද විශාල ලෙස බලශක්තිය පිරිමැසුම්කරණය කිරීමට හැකි බවත්, ඒ පිලිබඳ වැඩි අවධානයක් යොමු කරමින්,අලුතින් බලශක්තිය නිපදවීම් පිලිබඳ අවධානය දීම වෙනුවට කළමනාකරණයට මුල්තැන දීම මගින් රටේ තත්වය අනුව එය වඩා සහනදායි හා ප්‍රශස්ත වන බවද ප්‍රකාශ කළේය.",Positive,
,Travel with Wife,මෙම Jungle Beach වෙරළ ප්‍රදේශයට මේ වන විට වාරකන් කාලය පැමිණීම හේතුවෙන් දෙස් විදෙස් සංචාරකයන්ගේ පැමිණීම සීමා සහිත වුවත් මේ දිනවල පවතින රළ ස්වභාවය හේතුවෙන් මුහුදුපත්ලේ තිබෙන ප්ලාස්ටික් බෝතල් ඇතුළු අවිධිමත්ව බැහැර කරන ලද කසළ වෙරළට ගසා ගෙන ඒමේ ප්‍රවණතාවයක් දක්නට තිබේ. මේ හේතුවෙන් දිනපතාම මෙම වෙරළ තීරයන් අපිරිසිදු තත්වයට පත්වීම දැක ගැනීමට හැකිවේ.,,
,Sahan Kaseera Wickramasinghe,"එයින් හොඳටම නැළවිලි ගීත කීපයක් තෝරගෙන ඒවා Produce කරන්නත් කටයුතු කරලා තිබුණා . අවසානයේදී ලෝක ළමා දිනය දවස වෙනකොට මේ හදපු අලුත් නැළවිලි ගීත අන්තර්ජාලය හරහා අලුත් සමාජයට දායාද කරන්නත් කටයුතු කරලා තිබුණා.
වැඩේ ලස්සනයි .. !!",Positive,
,Manuranga Wijesekara,"මගේ මතයට අනුව trending  වීම යනු  ප්‍රේක්ෂකයාගේ හදවත  සමඟ, ජීවිතය සමග නිර්මාණය බද්ධ වීම ය.🔥 එය රෙගේ , රොක්, classical,බයිලා හරි ඕනෑම ආරක නිර්මාණයක් විය හැක  .දුක හෝ සතුට යන ඕනෑම භාවයක් නියෝජනය කළ හැක🙏❤️.",Positive,
,Anuruddha Bandara,"සියල්ලටම කලින් මේ බංකොලොත් දේශපාලකයින්, බංකොලොත් දේශපාලන පක්ෂ අතුගා දැමිය යුත්තේ එබැවිනි. ලස්සන වැඩක් පාදඩ දේශපලුවෝ hijack කරා.",Negative,
,Hamza Haniffa,"ඉතින් මේ වගේ independent ව ජිවත් වෙන තරුණ තරුණියන් කියන්නේ සාමාජ විප්ලවයක්, system change එකක් ඇති කරන්න පුළුවන් මිනිස්සු. මේ වගේ මිනිස්සුන්ට මොන බයිලා ගැහුවත් ගොඩක් මිනිස්සු කැමති නැහැ. මොකද එක පැත්තකින් ඉරිසියාව. තව පැත්තකින් කාටවත් හිස නමන්නේ නැතිව ජිවත් වීම. ඉතින් මේ මිනිස්සුන්ට මර්ධනය කරන්න රාජ්‍ය වගේම වටේ ඉන්න උනුත් මාර ගේමක් ගහනවා.",Negative,
,Sanjay Ranawake,"1 වෙනි මැච් එක පරාද වෙලා තමා ගහන්නේ කියන්නේ බයිලා.... අපේ උන් අද අන්තිමයි ඒකයි ඇත්ත, Department 03 ම අද Fail උපරිමයෙන්ම ",Negative,
,Peshani Ruvinya Ekanayake,තවම මේ වගේ මෝ ඩ ය න් ගේ. පන්ති යන ලමයි ඉන්නවනේ . පව් ඉතින් අමුතුගල සර් උගත් උනත් update වෙලා නෑ,Negative,
,Hasith Saranga,"Power Cut එක නිසා මගේ වැඩ නොසෑහෙන්න Drop උනා පහුගිය කාලේ, ආයේ මොන රජය ආවත් ඒ කිසි කෙනෙක් මට ඕන කරන විදුලිය දෙයි කියලා මම බලාපොරොත්තු වෙන් නෑ",Negative,
